id	abset_type	abset_size	absrc_set_size	abnum_hiq_sig	abpct_hiq_sig	abnum_uniq_pert	abpct_src_pert	absrc_set_id	abcell_iname	abpert_type	abis_filtered_set	abdesc	abraw_cs	abfdr_q_nlog10	abnorm_cs	abGrupo
CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR:HCC515:TRT_CP	abPCL	ab3.00	ab3.00	ab3.00	ab100.00	ab3.00	ab100.00	abCP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	abHCC515	abTRT_CP	abTRUE	abCP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR:HCC515:trt_cp	ab-0.92	ab0.39	ab-1.86	abGRUPO 2
SELECTIVE_SEROTONIN_REUPTAKE_INHIBITOR_(SSRI):HELA:TRT_CP	abMOA_CLASS	ab4.00	ab8.00	ab2.00	ab50.00	ab4.00	ab50.00	abSELECTIVE_SEROTONIN_REUPTAKE_INHIBITOR_(SSRI)	abHELA	abTRT_CP	abTRUE	abSELECTIVE_SEROTONIN_REUPTAKE_INHIBITOR_(SSRI):HELA:trt_cp	ab-0.89	ab0.39	ab-2.04	abGRUPO 2
KD_MITOGEN_ACTIVATED_PROTEIN_KINASES:HEPG2:TRT_SH.CGS	abPCL	ab3.00	ab4.00	ab2.00	ab66.67	ab3.00	ab75.00	abKD_MITOGEN_ACTIVATED_PROTEIN_KINASES	abHEPG2	abTRT_SH.CGS	abTRUE	abKD_MITOGEN_ACTIVATED_PROTEIN_KINASES:HEPG2:trt_sh.cgs	ab-0.88	ab0.37	ab-1.78	abGRUPO 2
MEMBRANE_PERMEABILITY_INHIBITOR:MCF10A:TRT_CP	abMOA_CLASS	ab3.00	ab6.00	ab2.00	ab66.67	ab3.00	ab50.00	abMEMBRANE_PERMEABILITY_INHIBITOR	abMCF10A	abTRT_CP	abTRUE	abMEMBRANE_PERMEABILITY_INHIBITOR:MCF10A:trt_cp	ab-0.85	ab0.37	ab-1.73	abGRUPO 2
NUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR:YAPC:TRT_CP	abMOA_CLASS	ab4.00	ab7.00	ab2.00	ab50.00	ab4.00	ab57.14	abNUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR	abYAPC	abTRT_CP	abTRUE	abNUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR:YAPC:trt_cp	ab-0.83	ab0.39	ab-1.88	abGRUPO 2
DIURETIC:A549:TRT_CP	abMOA_CLASS	ab4.00	ab9.00	ab3.00	ab75.00	ab4.00	ab44.44	abDIURETIC	abA549	abTRT_CP	abTRUE	abDIURETIC:A549:trt_cp	ab-0.79	ab0.39	ab-1.81	abGRUPO 2
KD_PI3K_SIGNALING:HCC515:TRT_SH.CGS	abPCL	ab3.00	ab6.00	ab2.00	ab66.67	ab3.00	ab50.00	abKD_PI3K_SIGNALING	abHCC515	abTRT_SH.CGS	abTRUE	abKD_PI3K_SIGNALING:HCC515:trt_sh.cgs	ab-0.78	ab0.27	ab-1.58	abGRUPO 2
PROGESTERONE_RECEPTOR_ANTAGONIST:MCF10A:TRT_CP	abMOA_CLASS	ab4.00	ab4.00	ab4.00	ab100.00	ab4.00	ab100.00	abPROGESTERONE_RECEPTOR_ANTAGONIST	abMCF10A	abTRT_CP	abTRUE	abPROGESTERONE_RECEPTOR_ANTAGONIST:MCF10A:trt_cp	ab-0.78	ab0.37	ab-1.77	abGRUPO 2
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY:VCAP:TRT_SH.CGS	abPATHWAY_SET	ab3.00	ab8.00	ab2.00	ab66.67	ab3.00	ab37.50	abREACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	abVCAP	abTRT_SH.CGS	abTRUE	abREACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY:VCAP:trt_sh.cgs	ab-0.77	ab0.26	ab-1.56	abGRUPO 2
LEUCINE_RICH_REPEAT_KINASE_INHIBITOR:SKBR3:TRT_CP	abMOA_CLASS	ab3.00	ab5.00	ab2.00	ab66.67	ab3.00	ab60.00	abLEUCINE_RICH_REPEAT_KINASE_INHIBITOR	abSKBR3	abTRT_CP	abTRUE	abLEUCINE_RICH_REPEAT_KINASE_INHIBITOR:SKBR3:trt_cp	ab-0.77	ab0.26	ab-1.56	abGRUPO 2
CP_ANDROGEN_RECEPTOR_MODULATOR:HELA:TRT_CP	abPCL	ab4.00	ab10.00	ab3.00	ab75.00	ab4.00	ab40.00	abCP_ANDROGEN_RECEPTOR_MODULATOR	abHELA	abTRT_CP	abTRUE	abCP_ANDROGEN_RECEPTOR_MODULATOR:HELA:trt_cp	ab-1.00	ab0.41	ab-1.26	abGRUPO 3
STAT_INHIBITOR:YAPC:TRT_CP	abMOA_CLASS	ab4.00	ab12.00	ab2.00	ab50.00	ab4.00	ab33.33	abSTAT_INHIBITOR	abYAPC	abTRT_CP	abTRUE	abSTAT_INHIBITOR:YAPC:trt_cp	ab-1.00	ab0.41	ab-1.26	abGRUPO 3
OREXIN_RECEPTOR_ANTAGONIST:MCF7:TRT_CP	abMOA_CLASS	ab4.00	ab10.00	ab3.00	ab75.00	ab4.00	ab40.00	abOREXIN_RECEPTOR_ANTAGONIST	abMCF7	abTRT_CP	abTRUE	abOREXIN_RECEPTOR_ANTAGONIST:MCF7:trt_cp	ab-1.00	ab0.41	ab-1.26	abGRUPO 3
BIOCARTA_SARS_PATHWAY:A375:TRT_SH.CGS	abPATHWAY_SET	ab4.00	ab10.00	ab2.00	ab50.00	ab4.00	ab40.00	abBIOCARTA_SARS_PATHWAY	abA375	abTRT_SH.CGS	abTRUE	abBIOCARTA_SARS_PATHWAY:A375:trt_sh.cgs	ab-1.00	ab0.41	ab-1.27	abGRUPO 3
IGF-1_INHIBITOR:MDAMB231:TRT_CP	abMOA_CLASS	ab5.00	ab9.00	ab3.00	ab60.00	ab3.00	ab33.33	abIGF-1_INHIBITOR	abMDAMB231	abTRT_CP	abTRUE	abIGF-1_INHIBITOR:MDAMB231:trt_cp	ab-1.00	ab0.43	ab-1.36	abGRUPO 3
BIOCARTA_EIF_PATHWAY:A375:TRT_SH.CGS	abPATHWAY_SET	ab5.00	ab16.00	ab3.00	ab60.00	ab5.00	ab31.25	abBIOCARTA_EIF_PATHWAY	abA375	abTRT_SH.CGS	abTRUE	abBIOCARTA_EIF_PATHWAY:A375:trt_sh.cgs	ab-1.00	ab0.43	ab-1.36	abGRUPO 3
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION:AGS:TRT_XPR	abPATHWAY_SET	ab6.00	ab8.00	ab2.00	ab33.33	ab3.00	ab37.50	abREACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	abAGS	abTRT_XPR	abTRUE	abREACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION:AGS:trt_xpr	ab-1.00	ab0.44	ab-1.37	abGRUPO 3
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL:MCF7:TRT_SH.CGS	abPATHWAY_SET	ab6.00	ab12.00	ab4.00	ab66.67	ab6.00	ab50.00	abREACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	abMCF7	abTRT_SH.CGS	abTRUE	abREACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL:MCF7:trt_sh.cgs	ab-1.00	ab0.44	ab-1.37	abGRUPO 3
PID_INTEGRIN5_PATHWAY:HEPG2:TRT_SH.CGS	abPATHWAY_SET	ab7.00	ab17.00	ab3.00	ab42.86	ab7.00	ab41.18	abPID_INTEGRIN5_PATHWAY	abHEPG2	abTRT_SH.CGS	abTRUE	abPID_INTEGRIN5_PATHWAY:HEPG2:trt_sh.cgs	ab-1.00	ab0.46	ab-1.39	abGRUPO 3
ATP_CHANNEL_BLOCKER:A549:TRT_CP	abMOA_CLASS	ab7.00	ab7.00	ab3.00	ab42.86	ab7.00	ab100.00	abATP_CHANNEL_BLOCKER	abA549	abTRT_CP	abTRUE	abATP_CHANNEL_BLOCKER:A549:trt_cp	ab-1.00	ab0.46	ab-1.40	abGRUPO 3
